,time,base,script1,script_price1,script2,script_price2,script3,script_price3,initial base quantity,final base quantity,profit,arbitrage type
329,2023-12-17 20:09:47.945205,USDT,USDCUSDT,1.00090000,FTMUSDC,0.01107000,FTMUSDT,0.40440000,200.0,7299.602999999999,14199.205999999998,BUY_BUY_SELL
66,2023-12-17 20:09:47.941175,USDT,BCCUSDT,448.70000000,BCCBNB,54.29000000,BNBUSDT,240.90000000,200.0,5829.429999999999,11258.859999999999,BUY_SELL_SELL
128,2023-12-17 20:09:47.942195,USDT,COMPUSDT,51.08000000,COMPBNB,5.71900000,BNBUSDT,240.90000000,200.0,5394.250999999999,10388.501999999999,BUY_SELL_SELL
136,2023-12-17 20:09:47.942304,USDT,BALUSDT,3.95700000,BALBNB,0.42580000,BNBUSDT,240.90000000,200.0,5184.433999999999,9968.867999999999,BUY_SELL_SELL
78,2023-12-17 20:09:47.941353,USDT,MCOUSDT,2.74400000,MCOBNB,0.26837000,BNBUSDT,240.90000000,200.0,4712.062999999999,9024.125999999998,BUY_SELL_SELL
89,2023-12-17 20:09:47.941515,USDT,REPUSDT,4.73000000,REPBNB,0.44670000,BNBUSDT,240.90000000,200.0,4550.047,8700.094,BUY_SELL_SELL
37,2023-12-17 20:09:47.940259,USDT,PAXUSDT,0.99960000,PAXETH,0.00888047,ETHUSDT,2211.04000000,200.0,3928.526,7457.052000000001,BUY_SELL_SELL
292,2023-12-17 20:09:47.944730,USDT,PAXUSDT,0.99960000,ADAPAX,0.03257000,ADAUSDT,0.59040000,200.0,3626.813,6853.626,BUY_BUY_SELL
103,2023-12-17 20:09:47.941705,USDT,RENUSDT,0.06215200,RENBNB,0.00458500,BNBUSDT,240.90000000,200.0,3554.215,6708.43,BUY_SELL_SELL
34,2023-12-17 20:09:47.940094,USDT,TUSDUSDT,0.99810000,TUSDETH,0.00762097,ETHUSDT,2211.04000000,200.0,3376.409,6352.818,BUY_SELL_SELL
